user_id,product_id,action,timestamp
1,160,view,2025-01-11 00:00:00
1,162,view,2025-01-11 00:04:00
1,161,click,2025-01-11 00:08:00
1,155,click,2025-01-11 00:11:00
1,203,view,2025-01-11 00:14:00
1,131,click,2025-01-11 00:15:00
1,123,add_to_cart,2025-01-11 00:18:00
1,121,view,2025-01-12 09:20:00
1,129,view,2025-01-12 09:25:00
1,135,click,2025-01-12 09:30:00
1,125,click,2025-01-12 09:32:00
1,129,click,2025-01-12 09:36:00
1,138,add_to_cart,2025-01-12 09:39:00
1,183,click,2025-01-12 09:44:00
1,256,add_to_cart,2025-01-12 09:49:00
2,104,view,2025-02-02 00:00:00
2,97,view,2025-02-02 00:01:00
2,102,click,2025-02-02 00:03:00
2,92,click,2025-02-02 00:05:00
2,49,click,2025-02-02 00:08:00
2,99,click,2025-02-02 00:13:00
2,8,add_to_cart,2025-02-02 00:18:00
2,94,add_to_cart,2025-02-02 00:22:00
2,95,add_to_cart,2025-02-02 00:23:00
2,8,view,2025-02-03 14:28:00
2,5,view,2025-02-03 14:33:00
2,10,click,2025-02-03 14:38:00
2,12,view,2025-02-03 14:39:00
2,104,click,2025-02-03 14:41:00
2,43,add_to_cart,2025-02-03 14:42:00
2,101,add_to_cart,2025-02-03 14:47:00
2,92,add_to_cart,2025-02-03 14:52:00
2,94,click,2025-02-03 14:53:00
2,105,click,2025-02-03 14:57:00
3,231,view,2025-02-11 00:00:00
3,231,view,2025-02-11 00:02:00
3,237,click,2025-02-11 00:05:00
3,235,view,2025-02-11 00:06:00
3,235,click,2025-02-11 00:08:00
3,187,add_to_cart,2025-02-11 00:12:00
3,182,add_to_cart,2025-02-11 00:17:00
3,239,view,2025-02-13 13:22:00
3,230,view,2025-02-13 13:23:00
3,228,click,2025-02-13 13:26:00
3,236,view,2025-02-13 13:31:00
3,223,view,2025-02-13 13:35:00
3,225,add_to_cart,2025-02-13 13:36:00
3,232,click,2025-02-13 13:40:00
3,213,click,2025-02-13 13:44:00
3,192,view,2025-02-16 08:45:00
3,194,view,2025-02-16 08:50:00
3,189,click,2025-02-16 08:54:00
3,185,click,2025-02-16 08:55:00
3,230,view,2025-02-16 08:56:00
3,189,click,2025-02-16 08:57:00
4,204,view,2025-01-19 00:00:00
4,210,view,2025-01-19 00:04:00
4,200,view,2025-01-19 00:08:00
4,198,click,2025-01-19 00:09:00
4,239,view,2025-01-19 00:13:00
4,228,add_to_cart,2025-01-19 00:14:00
4,266,add_to_cart,2025-01-19 00:15:00
4,198,add_to_cart,2025-01-19 00:18:00
4,206,click,2025-01-19 00:19:00
4,72,view,2025-01-20 10:22:00
4,64,view,2025-01-20 10:24:00
4,63,view,2025-01-20 10:27:00
4,72,click,2025-01-20 10:32:00
4,205,view,2025-01-20 10:37:00
4,59,click,2025-01-20 10:42:00
4,203,view,2025-01-22 09:46:00
4,205,view,2025-01-22 09:47:00
4,202,view,2025-01-22 09:50:00
4,205,click,2025-01-22 09:54:00
4,228,click,2025-01-22 09:59:00
4,257,add_to_cart,2025-01-22 10:03:00
4,226,click,2025-01-22 10:08:00
5,104,view,2025-02-21 00:00:00
5,97,view,2025-02-21 00:01:00
5,93,view,2025-02-21 00:04:00
5,96,view,2025-02-21 00:06:00
5,98,view,2025-02-21 00:07:00
5,9,click,2025-02-21 00:12:00
5,15,add_to_cart,2025-02-21 00:14:00
5,63,click,2025-02-21 00:17:00
5,98,view,2025-02-22 23:18:00
5,96,view,2025-02-22 23:21:00
5,104,view,2025-02-22 23:25:00
5,105,click,2025-02-22 23:30:00
5,67,click,2025-02-22 23:34:00
5,105,add_to_cart,2025-02-22 23:38:00
5,68,click,2025-02-22 23:40:00
